,Year,Team,Week,,Sacked,Yards
0,1978,crd,5,/boxscores/197810010mia.htm,0,0
0,1978,crd,6,/boxscores/197810080crd.htm,4,32
0,1978,crd,7,/boxscores/197810150crd.htm,3,28
0,1978,crd,8,/boxscores/197810220nyj.htm,2,20
0,1978,crd,9,/boxscores/197810290phi.htm,0,0
0,1978,crd,10,/boxscores/197811050crd.htm,1,6
0,1978,crd,11,/boxscores/197811120sfo.htm,0,0
0,1978,crd,12,/boxscores/197811190was.htm,1,12
0,1978,crd,13,/boxscores/197811260crd.htm,1,5
0,1978,crd,14,/boxscores/197812030crd.htm,1,10
0,1978,crd,15,/boxscores/197812100nyg.htm,0,0
0,1978,crd,16,/boxscores/197812170crd.htm,2,14
0,1977,crd,1,/boxscores/197709180den.htm,2,18
0,1977,crd,2,/boxscores/197709250crd.htm,0,0
0,1977,crd,3,/boxscores/197710020was.htm,2,15
0,1977,crd,4,/boxscores/197710090crd.htm,2,21
0,1977,crd,5,/boxscores/197710160phi.htm,0,0
0,1977,crd,6,/boxscores/197710230crd.htm,0,0
0,1977,crd,7,/boxscores/197710310crd.htm,1,0
0,1977,crd,8,/boxscores/197711060min.htm,0,0
0,1977,crd,9,/boxscores/197711140dal.htm,1,4
0,1977,crd,10,/boxscores/197711200crd.htm,2,14
0,1977,crd,11,/boxscores/197711240crd.htm,2,14
0,1977,crd,12,/boxscores/197712040nyg.htm,0,0
0,1977,crd,13,/boxscores/197712100crd.htm,3,23
0,1977,crd,14,/boxscores/197712180tam.htm,0,0
0,1976,crd,1,/boxscores/197609120sea.htm,2,5
0,1976,crd,2,/boxscores/197609190crd.htm,1,4
0,1976,crd,3,/boxscores/197609260sdg.htm,0,0
0,1976,crd,4,/boxscores/197610030crd.htm,0,0
0,1976,crd,5,/boxscores/197610100crd.htm,1,5
0,1976,crd,6,/boxscores/197610170crd.htm,0,0
0,1976,crd,7,/boxscores/197610250was.htm,1,9
0,1976,crd,8,/boxscores/197610310crd.htm,4,46
0,1976,crd,9,/boxscores/197611070phi.htm,1,7
0,1976,crd,10,/boxscores/197611140ram.htm,0,0
0,1976,crd,11,/boxscores/197611210crd.htm,4,26
0,1976,crd,12,/boxscores/197611250dal.htm,1,10
0,1976,crd,13,/boxscores/197612040crd.htm,1,8
0,1976,crd,14,/boxscores/197612120nyg.htm,1,12
0,1975,crd,1,/boxscores/197509210crd.htm,0,0
0,1975,crd,2,/boxscores/197509280dal.htm,0,0
0,1975,crd,3,/boxscores/197510050crd.htm,0,0
0,1975,crd,4,/boxscores/197510130was.htm,0,0
0,1975,crd,5,/boxscores/197510190crd.htm,0,0
0,1975,crd,6,/boxscores/197510250nyg.htm,2,17
0,1975,crd,7,/boxscores/197511020crd.htm,0,0
0,1975,crd,8,/boxscores/197511090phi.htm,0,0
0,1975,crd,9,/boxscores/197511160crd.htm,2,18
0,1975,crd,10,/boxscores/197511230nyj.htm,2,20
0,1975,crd,11,/boxscores/197511270crd.htm,2,11
0,1975,crd,12,/boxscores/197512070crd.htm,0,0
0,1975,crd,13,/boxscores/197512140chi.htm,0,0
0,1975,crd,14,/boxscores/197512210det.htm,0,0
0,1975,crd,Division,/boxscores/197512270ram.htm,2,23
0,1974,crd,1,/boxscores/197409150crd.htm,0,0
0,1974,crd,2,/boxscores/197409220was.htm,1,7
0,1974,crd,3,/boxscores/197409290crd.htm,0,0
0,1974,crd,4,/boxscores/197410060sfo.htm,0,0
0,1974,crd,5,/boxscores/197410130crd.htm,0,0
0,1974,crd,6,/boxscores/197410200oti.htm,0,0
0,1974,crd,7,/boxscores/197410270crd.htm,1,10
0,1974,crd,8,/boxscores/197411030dal.htm,3,34
0,1974,crd,9,/boxscores/197411110crd.htm,2,12
0,1974,crd,10,/boxscores/197411170phi.htm,1,8
0,1974,crd,11,/boxscores/197411240nyg.htm,0,0
0,1974,crd,12,/boxscores/197412010crd.htm,2,24
0,1974,crd,13,/boxscores/197412080nor.htm,4,31
0,1974,crd,14,/boxscores/197412150crd.htm,2,8
0,1974,crd,Division,/boxscores/197412210min.htm,2,16
0,1973,crd,1,/boxscores/197309160phi.htm,1,8
0,1973,crd,2,/boxscores/197309230crd.htm,1,8
0,1973,crd,3,/boxscores/197309300dal.htm,1,8
0,1973,crd,4,/boxscores/197310070crd.htm,5,41
0,1973,crd,5,/boxscores/197310140crd.htm,2,9
0,1973,crd,6,/boxscores/197310210was.htm,5,37
0,1973,crd,7,/boxscores/197310280crd.htm,2,15
0,1973,crd,8,/boxscores/197311040crd.htm,2,16
0,1973,crd,9,/boxscores/197311110gnb.htm,1,11
0,1973,crd,10,/boxscores/197311180nyg.htm,1,14
0,1973,crd,11,/boxscores/197311250cin.htm,2,15
0,1973,crd,12,/boxscores/197312020crd.htm,1,3
0,1973,crd,13,/boxscores/197312090atl.htm,0,0
0,1973,crd,14,/boxscores/197312160crd.htm,3,24
0,1972,crd,1,/boxscores/197209170clt.htm,2,22
0,1972,crd,2,/boxscores/197209240was.htm,5,39
0,1972,crd,3,/boxscores/197210010crd.htm,2,9
0,1972,crd,4,/boxscores/197210080min.htm,0,0
0,1972,crd,5,/boxscores/197210150crd.htm,1,9
